Brand,Product Name,Discount Price,Actual Price,Ratings
NIKE,Men Colourblock Duffle Bag with Double Handles,"₹1,836","₹2,295",4.7
NIKE,Men Logo Print Backpack,"₹3,971","₹5,295",4.6
NIKE,Men Embroidered Backpack,"₹1,921","₹2,495",
Skybags,Men Colourblock Laptop Backpack with Zip Closure,₹900,"₹2,400",3.7
ARISTOCRAT,Graphic Print Back Pack with Zip-Closure,₹465,"₹2,110",3.7
MOKOBARA,The Bliss Multipurpose Laptop Backpack for Women,"₹6,500","₹11,999",4.3
ARISTOCRAT,Graphic Print Back Pack with Zip-Closure,₹465,"₹2,110",3.6
NIKE,"Men Logo Print 16"" Laptop Backpack","₹4,396","₹5,495",4.3
MOKOBARA,Men Everyday Backpack with Adjustable Straps,"₹6,500","₹11,999",4.2
NIKE,Men Brand Print Backpack,"₹1,996","₹2,495",
Puma,Graphic Print Everyday Backpack,₹989,"₹2,299",4.1
MOKOBARA,Men Everyday Backpack with Adjustable Straps,"₹4,300","₹8,999",4.5
NIKE,DH7709-010 Logo Print Backpack,"₹2,236","₹2,795",4.2
Skybags,Men Laptop Backpack with Zip Closure,"₹1,050","₹2,800",3.7
MOKOBARA,Men Everyday Backpack with Adjustable Straps,"₹6,499","₹10,999",4.9
NIKE,Men ELMNTL Backpack with Adjustable Straps,"₹2,066","₹2,295",
CONVERSE,Men Back Pack,"₹5,599",,
MOKOBARA,The Kaleido Unisex Multipurpose Backpack,"₹3,999","₹6,999",4.3
NIKE,"16"" Laptop Backpack with Adjustable Straps","₹2,396","₹2,995",
FUR JADEN,Backpack with USB Charging Port,₹700,"₹2,000",4
MOKOBARA,Men Everyday Backpack with Adjustable Straps,"₹6,499","₹10,999",4.9
NIKE,Men Logo Print Backpack with Pouch,"₹1,836","₹2,295",
Priority,Men Others Back Pack,₹471,"₹1,599",3.8
MOKOBARA,The Transit Unisex Laptop Backpack,"₹5,000","₹8,999",4.2
Hookaba,Eye Rover Unisex LED Biker Bag,"₹11,549","₹14,999",
Wildcraft,Men Geometric Print Backpack,₹899,,
MOKOBARA,The Kaleido Unisex Multipurpose Backpack,"₹3,999","₹6,999",4.3
Priority, Men Back Pack,₹387,"₹1,249",
NIKE,Men Logo Print Backpack,"₹2,621","₹3,495",4
Skybags,Men Typographic Print Laptop Backpack with Zip Closure,₹720,"₹2,000",3.8
NIKE,Men Brand Print Backpack with Adjustable Strap,"₹1,496","₹1,995",3.7
Skybags,Men KREW 03 Typographic Print Backpack,₹788,"₹2,100",4
Skybags,Men Typographic Print Rucksack Bag with Adjustable Strap,"₹1,054","₹3,400",3.9
Puma,15'' Derby IND Laptop Backpack,"₹1,099","₹1,999",3.9
Lunar's,Panelled Backpack with Adjustable Straps,₹849,"₹1,799",3.5
Skybags,Travel Backpack with Adjustable Straps,₹883,"₹2,598",3.8
ALDO,Men Backpack with Adjustable Straps,"₹11,999",,
ARISTOCRAT,Graphic Print Back Pack with Zip-Closure,₹628,"₹2,850",4.1
WALRUS,Men Everyday Padded Backpack,"₹1,094","₹3,125",
ALL SAINTS,Genuine Leather Carabiner Backpack,"₹30,999",,
OZUKO,9388 Backpack with Adjustable Straps,"₹5,840","₹14,600",1
NIKE,Older Kid Faux Fur Backpack,"₹1,817","₹2,795",4
MOKOBARA,The Unisex Multipurpose Briefcase,"₹6,000","₹9,499",3.7
Priority,Men Others Back Pack,₹359,"₹1,599",4
CONVERSE,Logo Print Back Pack with Adjustable Strap,"₹3,999",,
ARISTOCRAT,Graphic Print Back Pack with Zip-Closure,₹628,"₹2,850",4
NIKE,Academy Team Backpack,"₹2,156","₹2,695",3.8
Puma,Tyle IND Camo Print Laptop Backpack,₹917,"₹1,799",3.9
ARISTOCRAT,"17"" Laptop Backpack with Adjustable Straps",₹600,"₹2,180",4
Priority,Mens Laptop Bag  Pack,₹307,"₹1,199",3.7
NIKE,Men Logo Print Reversible Backpack,"₹2,796","₹3,495",
Skybags,Men Klan Brand Print Backpack,"₹1,470","₹2,100",4.1
Wildcraft,Unisex Hopper 22 Patterned Backpack,"₹1,699",,
