Company Name,Rating,Reviews,Company Type
TCS,3.7,92.4k Reviews,IT Services & Consulting | Bangalore / Bengaluru +393 other locations
Accenture,3.8,58.4k Reviews,IT Services & Consulting | Bangalore / Bengaluru +212 other locations
Wipro,3.7,54.5k Reviews,IT Services & Consulting | Bangalore / Bengaluru +343 other locations
Cognizant,3.7,51.7k Reviews,IT Services & Consulting | Chennai +199 other locations
Capgemini,3.7,43.2k Reviews,IT Services & Consulting | Bangalore / Bengaluru +169 other locations
HDFC Bank,3.9,40.8k Reviews,Banking | Mumbai +1667 other locations
Infosys,3.6,40.6k Reviews,IT Services & Consulting | Bangalore / Bengaluru +218 other locations
ICICI Bank,4.0,39.1k Reviews,Banking | Mumbai +1357 other locations
HCLTech,3.5,37.3k Reviews,IT Services & Consulting | Chennai +209 other locations
Tech Mahindra,3.5,36.2k Reviews,IT Services & Consulting | Hyderabad / Secunderabad +296 other locations
Genpact,3.8,32.5k Reviews,IT Services & Consulting | Hyderabad / Secunderabad +145 other locations
Teleperformance,3.9,30.5k Reviews,BPO | Mumbai +217 other locations
Concentrix Corporation,3.8,27.1k Reviews,BPO | Bangalore / Bengaluru +150 other locations
Axis Bank,3.8,26.2k Reviews,Banking | Mumbai +1391 other locations
Amazon,4.1,25.8k Reviews,Internet | Bangalore / Bengaluru +468 other locations
Jio,4.0,23.9k Reviews,Telecom | Mumbai +1320 other locations
iEnergizer,4.6,23.2k Reviews,BPO | Noida +42 other locations
Reliance Retail,3.9,23k Reviews,Retail | Mumbai +1065 other locations
IBM,4.0,23k Reviews,IT Services & Consulting | Bangalore / Bengaluru +245 other locations
LTIMindtree,3.8,21.7k Reviews,IT Services & Consulting | Bangalore / Bengaluru +129 other locations
