Hotel,Price,Review
Hotel O Dream Palace,"₹ 1,000",Scored 7.4 7.4Good 55 reviews
Novotel Kolkata Hotel and Residences,"₹ 6,499","Scored 8.1 8.1Very Good 1,611 reviews"
Super Hotel O DA Guest Home,₹ 679,Scored 6.8 6.8Review score 5 reviews
Holiday Inn Express Kolkata Airport by IHG,"₹ 4,099","Scored 7.9 7.9Good 1,704 reviews"
Holiday Inn Kolkata Airport by IHG,"₹ 4,399",Scored 7.3 7.3Good 879 reviews
Omshanti Guest House A Boutique Hotel,₹ 989,New to Booking.com
HCN GUEST House,"₹ 1,260",New to Booking.com
ibis Kolkata Rajarhat - An Accor Brand,"₹ 3,050","Scored 6.9 6.9Review score 1,630 reviews"
Hotel O Sunshine,"₹ 1,188",New to Booking.com
Hotel O Dream World,"₹ 2,173",New to Booking.com
Hyatt Regency Kolkata,"₹ 7,500","Scored 8.2 8.2Very Good 1,635 reviews"
"Treebo Hoops, Near Kolkata Airport","₹ 1,680",Scored 6.2 6.2Review score 250 reviews
"Howard Johnson by Wyndham, Kolkata Airport","₹ 1,889",Scored 7.0 7.0Good 529 reviews
Treebo Globe International,"₹ 3,056",Scored 7.3 7.3Good 152 reviews
The Park Kolkata,"₹ 5,874",Scored 7.4 7.4Good 947 reviews
YMCA SEACOM INN,"₹ 2,470",Scored 7.7 7.7Good 878 reviewsLocation 9.3
Vivanta Kolkata EM Bypass,"₹ 7,000",Scored 8.1 8.1Very Good 881 reviews
Peerless Hotel Kolkata,"₹ 5,024",Scored 7.5 7.5Good 887 reviews
Babul Hotel,"₹ 1,000",Scored 6.3 6.3Review score 99 reviews
Townhouse Refresh,"₹ 1,468",Scored 7.2 7.2Good 67 reviews
Golden Square - Kolkata Airport,"₹ 2,464",Scored 9.4 9.4Wonderful 110 reviewsLocation 9.6
Raajkutir - IHCL SeleQtions,"₹ 6,350",Scored 8.9 8.9Excellent 533 reviews
JW Marriott Hotel Kolkata,"₹ 9,000",Scored 8.9 8.9Excellent 654 reviews
Fairfield by Marriott Kolkata,"₹ 6,499","Scored 8.1 8.1Very Good 1,923 reviews"
Hotel Metropole,"₹ 3,570",Scored 5.2 5.2Review score 71 reviews
The Maureen,"₹ 3,492",Scored 8.6 8.6Excellent 20 reviews
Hotel Shabnam,₹ 596,Scored 6.5 6.5Review score 34 reviews
Hotel O HAVEN INN,₹ 793,Scored 6.3 6.3Review score 26 reviews
Treebo Naman's Inn,"₹ 1,607",Scored 6.2 6.2Review score 170 reviews
Treebo Green View,"₹ 1,433",Scored 6.1 6.1Review score 199 reviews
FabHotel Prime Kzar Corporate - Nr Sealdah Station,"₹ 1,946",Scored 7.6 7.6Good 393 reviews
Brill Lake View,"₹ 1,699",Scored 7.6 7.6Good 5 reviewsNew to Booking.com
"Taj City Centre New Town, Kolkata","₹ 9,250","Scored 9.0 9.0Wonderful 1,368 reviews"
FabExpress Nest - Nr Park Street Metro Station,"₹ 1,301",Scored 8.0 8.0Very Good 253 reviews
Regenta Orkos Kolkata by Royal Orchid Hotels Limited,"₹ 4,799",Scored 7.1 7.1Good 75 reviews
FabHotel Prime Tiyara Inn,"₹ 2,503",Scored 8.6 8.6Excellent 43 reviews
"Fortune Park Panchwati, Kolkata - Member ITC Hotels' Group","₹ 4,420",Scored 6.8 6.8Review score 211 reviews
Park Eastern Hotel,"₹ 3,121",Scored 8.0 8.0Very Good 3 reviewsNew to Booking.com
FabHotel Eros 211 - Nr Sreebhumi,"₹ 1,371","Scored 8.8 8.8Excellent 1,338 reviews"
The Aster Enclave Hotel,"₹ 2,325",Scored 8.1 8.1Very Good 217 reviews
Treebo Glassotel,"₹ 1,818",Scored 7.7 7.7Good 157 reviews
FabHotel Airport Green Arcade - 15km from Kolkata Airport,"₹ 1,427",Scored 7.6 7.6Good 699 reviews
Treebo Premium The Crystal,"₹ 2,455",Scored 7.6 7.6Good 112 reviews
"Pride Plaza Hotel, Kolkata","₹ 3,999",Scored 7.9 7.9Good 842 reviews
"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata","₹ 13,000","Scored 8.7 8.7Excellent 1,920 reviews"
"Treebo Orion Sapphire, Beck Bagan","₹ 2,320",Scored 6.4 6.4Review score 146 reviews
Super Hotel O Uttar Panchanna,"₹ 1,341",Scored 10 10Exceptional 1 reviewLocation 10New to Booking.com
The CORPORATE,"₹ 3,481",Scored 5.8 5.8Review score 21 reviews
Super Townhouse VIP Road Formerly The Sky,"₹ 1,854",Scored 8.4 8.4Very Good 45 reviews
